id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
3f51a592-0b5c-4fad-a5d3-4a305084bbbc,using.blackfriday,available,114.99,114.99,high,low,5,namesilo,,,
9d8c4289-9f86-40ec-a8cc-9b87ba5e2577,annotated.blackfriday,available,114.99,114.99,high,low,9,namesilo,,,
23a36720-8959-439f-bc25-0915631d1239,assumed.blackfriday,available,114.99,114.99,medium,low,7,namesilo,,,07/08/2026 07:45
14f0eb62-6b0a-434e-ab56-ade27da9a27a,watchful.blackfriday,available,114.99,114.99,high,low,8,namesilo,,,
2470c812-79d7-4618-ac18-001c97ea3220,gotten.blackfriday,available,114.99,114.99,high,low,6,namesilo,,,
4b281b22-0334-44f6-bf4c-809545aa1072,volvo.blackfriday,available,114.99,114.99,high,low,5,namesilo,,,
a14fc700-8fad-4b18-9b92-c7131c327f88,concern.blackfriday,available,114.99,114.99,high,low,7,namesilo,,,
fd307b61-3fea-4cc4-a6b5-c16958d04e1b,antarctic.blackfriday,available,114.99,114.99,high,low,9,namesilo,,,
47c22fac-178a-4f2b-9322-16052e4781da,augean.blackfriday,available,114.99,114.99,medium,low,6,namesilo,,,07/08/2026 16:54
4bd0af88-bf07-48d2-b4ed-9bc628df0dfc,grown.blackfriday,available,114.99,114.99,high,low,5,namesilo,,,08/09/2026 15:16
d3576167-bc6b-4215-b158-706ece44c511,raw.blackfriday,premium,384,384,high,low,3,namesilo,,,08/08/2026 18:20
60ca3ab3-4042-485b-bf71-f7d53cc6c0a2,undesirable.blackfriday,available,114.99,114.99,high,low,11,namesilo,,,
8a3812c3-3680-47ed-aa8a-a7e95267467d,melancholy.blackfriday,available,114.99,114.99,high,low,10,namesilo,,,
10ce1bb7-eb4c-4b9d-b9fb-c30724a2022e,supernatural.blackfriday,available,114.99,114.99,high,low,12,namesilo,,,
faa1722f-3c43-4149-bfd7-01cc085399fc,prehensile.blackfriday,available,114.99,114.99,medium,low,10,namesilo,,,07/08/2026 22:14
d2c72404-7cbd-4285-a870-57ef38d30ee6,acerate.blackfriday,available,114.99,114.99,medium,low,7,namesilo,,,
970f98ad-658b-4464-a408-f586b681d673,polyester.blackfriday,available,114.99,114.99,high,low,9,namesilo,,,
b45d7a84-1a72-4b38-882b-94dce9434126,deliver.blackfriday,available,114.99,114.99,high,low,7,namesilo,,,
5890b81f-6fad-4e50-886f-8e085968421f,lab.blackfriday,premium,384,384,high,medium,3,namesilo,,,
